Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
Buckhurst Hill,6,Central,51.62657674004732,0.04671254142876922,-1.2417037648359497,-1.0961430051023258,-0.48737323848313047,-0.3236698930083495,-0.6659781750903573,-0.852840297308313,-0.7820713549243202,-0.6398592913538321,-0.43214273460271746,-0.15911903331550703,0.4041409537790613,1.0486211647738144,1.8201172878880052,2.302534227019432,1.2227373657463607,0.25207160978275067,-0.12939320476190197,-0.2399286162027128
Loughton,2,Central,51.641570570828016,0.055279079287447894,-1.3599048800857794,-1.1411336996582253,-0.40412758145924227,0.7302803622306713,-0.4090568922350441,-0.794072647594127,-0.7713894329079054,-0.6413982292575718,-0.5327242639591137,-0.36746536846805405,0.01791259114766197,0.7959866496762966,1.868111276156791,2.2726873462191683,1.1948362953020906,0.15266901342967298,-0.2731090418059718,-0.33810149673131895
Debden,3,Central,51.64549214152591,0.08380147525632461,-1.453817342041028,-0.9029801203491922,0.6208139014567109,1.771153775112675,0.5221551170254567,-0.5919805069300517,-0.7793777208201584,-0.7120352287941699,-0.5495724226114558,-0.3890890666533871,-0.12890830344061271,0.677181247540881,1.763585820721616,1.7265986898389665,0.5201319886125165,-0.5015841099003909,-0.7701480042104963,-0.8221277145578815
Theydon Bois,6,Central,51.67255225418,0.10289073688168189,-1.278017587473854,-0.9024042146226511,0.015265257404862087,-0.05505459116282636,-0.7664633762878309,-0.932456085961572,-0.806666095651834,-0.6308117317634325,-0.5094637597814826,-0.2581722723532922,0.3802656898313205,0.9343208026005456,1.8508439329025403,2.257330245407794,1.376565752630036,0.06753218129338247,-0.3304347225987238,-0.41217942441298394
Wanstead,1,Central,51.574902199570865,0.02876047243622503,-1.4010523060786952,-1.1999892920898003,-0.34121125251371154,0.20050242144457875,-0.5281457125124461,-0.7622889307580873,-0.698766447694931,-0.5212350560407336,-0.4256068766898151,-0.21182936608449487,0.21117787214247344,0.9376079246793803,2.082907121089063,2.305569553401331,0.9263856637770711,-0.011394606253404688,-0.2821560343883653,-0.2804746754294127
Redbridge,0,Central,51.576366994360605,0.045394044087077395,-1.074946482135423,-0.5346499415518929,-0.5583814660894659,-0.6723754033228384,-0.8373561433096229,-0.922386729081625,-0.8329042182934346,-0.6791072408525878,-0.5282778802000236,-0.22033201320572954,0.25465724480625535,0.9228269870332271,2.1246691985856203,2.2435135321972153,1.0908460591367355,0.31200669702054556,0.006489975851916812,-0.09429217658887071
Gants Hill,0,Central,51.57655306294169,0.06608409806317944,-1.0968457098033886,-0.9763299941401377,-0.7160240224874151,-0.4773740362657429,-0.5850499544873009,-0.689203950314493,-0.7047521483875006,-0.6307243079187113,-0.4693625906120609,-0.28232914944365667,0.07978252264643877,0.7076026903976117,1.9653023368790208,2.4782660186990295,1.1907831780171008,0.36352076311309367,0.015144185373040726,-0.17240583126492853
Newbury Park,0,Central,51.57563850646377,0.09030315819789672,-1.087538568294294,-0.9451806275679019,-0.5519862378551569,-0.23996145753175324,-0.6283152496772395,-0.817996461375265,-0.7983185521684173,-0.6940388404824777,-0.5443485659752897,-0.28441487661682124,0.07728670237953764,0.767600735724758,2.004158489646848,2.364211945152133,1.2837276309635315,0.3284211455737835,-0.024056192614305718,-0.20925101928166626
Barkingside,0,Central,51.58585076146283,0.08847664010592626,-1.0865766726515624,-0.9691647415184395,-0.5247918515153807,-0.05299157426778042,-0.5018764589871448,-0.7710116136114977,-0.8046138342265774,-0.7353273575964354,-0.5695856276977347,-0.26500383506025904,0.10164608783105097,0.6396480883641593,1.9784889348602364,2.3951603169393447,1.387198020318536,0.24447502510054242,-0.1637431686550476,-0.30192973762601
Fairlop,2,Central,51.59610969417489,0.0905932799159299,-1.0851910579260509,-1.0112395830271317,-0.43298904893721657,-0.04461544941294372,-0.6375248774019336,-0.8043554409598908,-0.7599037504633019,-0.677336236683795,-0.5467501763905941,-0.3521040704354607,0.014168596478923287,0.5278666469096469,1.8348085771100398,2.461186403888437,1.4766951439024336,0.3842262910112127,-0.11663646910090206,-0.23030549856147534
Hainault,1,Central,51.602845483752255,0.09410855083015249,,,,,,,,,,,,,,,,,,
Grange Hill,6,Central,51.61348057933538,0.09227253016869208,-1.0851775967974187,-0.88815662008292,-0.3437454467410388,-0.42281810837914185,-0.7075745041894247,-0.7716205629921802,-0.7949126381270074,-0.6917433020611495,-0.5102620997552911,-0.2701573214543856,0.3844784692229746,1.0746251508868916,1.9393770931317567,2.2092147181547754,1.3954382881424128,0.196863323786526,-0.28079288576944383,-0.43303595697593306
Chigwell,6,Central,51.61785799974183,0.07617921535230276,-1.2311678148904688,-0.9336725968617869,1.2751938164110002,1.980592074388459,-0.3462426754060408,-0.8235485599926494,-0.8227186531110957,-0.8217503520940268,-0.7229367049973211,-0.4290398947356045,-0.22328427811192472,0.32896509921033573,1.141605624456253,1.8506327379746637,0.8708148319601134,-0.04376865006146177,-0.45654446170490676,-0.5931295424335403
Roding Valley,6,Central,51.61695652081232,0.04402620712663845,-1.2818601662632305,-0.40010155794786545,0.34823618793538735,0.09257446278571994,-0.7015397890752167,-0.8246883594440226,-0.7195030794987077,-0.5979998115056636,-0.2031483569097164,0.11439001581226337,0.7109364038980308,0.6870258535006049,2.0378415872982205,2.404309737903409,0.534710752828779,-0.41754838247418313,-0.8522940252977278,-0.9313414735460827
Epping,5,Central,51.69368635497796,0.11382555351421217,-1.2181678933902145,-0.9309070192766392,-0.20036610077142533,-0.2877842248135249,-0.6555948965683918,-0.8217078003327504,-0.7639050666778794,-0.6569911189851746,-0.540774126282301,-0.36116436405718727,0.0907067313488077,0.8516731438395476,1.9684858654252595,2.260398869551228,1.433621143761422,0.30807594184449066,-0.20427614089709734,-0.27132294371817234
Morden,1,Northern,51.40218564474951,-0.1948519795190437,-1.347862511861769,-1.0305332877411673,-0.26004165865549184,-0.14641792667759773,-0.5933625888702114,-0.8548631534357566,-0.8130591118693938,-0.664698751183379,-0.5008720035865663,-0.3252469876080936,0.14161215434525912,1.0167780820827914,2.0285389815971477,2.266285550464256,1.0716517903133087,0.1594337925629445,-0.08278112270197303,-0.06456124717430436
South Wimbledon,2,Northern,51.41536039779992,-0.19197454409905726,-1.6984653525152287,-1.1815992386639005,0.5738258635973603,1.24914426964553,0.004549666707794321,-0.7222477397730604,-0.8153477165579444,-0.764957612280768,-0.6367091163518253,-0.4849941521259907,-0.15531318666199792,0.43686283459030717,1.504954704463369,2.1559440535372274,1.0717755739780772,-0.029925185409362193,-0.3273650725371455,-0.18013259364244508
Colliers Wood,1,Northern,51.41875889952969,-0.17741509804960517,-1.3024614166350212,-1.037858219810985,-0.3828500988384728,-0.21146629859857682,-0.7074709848032429,-0.8655824893939188,-0.7876859292312479,-0.6567585442290373,-0.5113660170679747,-0.28711274958405447,0.1359069258551588,0.8386102843148718,1.9748084836061377,2.338603894245917,1.116586276190846,0.1845229909163164,0.03002787564413113,0.13154601741915015
Tooting Broadway,2,Northern,51.42704887092591,-0.16868452577766038,-1.721099954999735,-1.404962535768008,-0.20238801634949363,1.0824319089231578,0.2101634314575933,-0.542616645018831,-0.7524362918108068,-0.6785341863944536,-0.5009944573545128,-0.4331737799801467,-0.16111568576043767,0.5330118089108795,1.575990595779378,2.204048873799351,1.1500597416394562,0.013823774990932588,-0.22931439171407045,-0.14289419035025044
Tooting Bec,6,Northern,51.435837804955476,-0.15970049083173754,-1.3814952490424082,-1.0583662647111138,0.12427466251278654,0.28444423546520775,-0.5857025375485603,-0.8902280587769402,-0.8509375895690651,-0.7866585171231693,-0.6769992697972892,-0.5888699806688915,-0.2796024505354532,0.37991527961780036,1.4243355718015909,2.3312886821773464,1.5879317723636566,0.39813540836469263,0.10594630820010932,0.4625879972696968
Balham,6,Northern,51.443182314397006,-0.15268516199326135,-1.3159329357839833,-1.0624507475487315,-0.055437143955321115,0.607535073366384,-0.40008876300776147,-0.820483332581893,-0.8187398300077301,-0.7427993386250896,-0.6456985664855595,-0.5365311951279628,-0.20332956640513722,0.5638016594263013,1.784013886329811,2.349027850120377,1.376376035863929,0.12504375844259719,-0.1928025842356369,-0.011504259784594371
Clapham South,6,Northern,51.45267624920499,-0.14798406833029198,-1.3704621381625093,-1.1164512478127215,-0.06665024602355483,0.3418442549515324,-0.32231452075245814,-0.7686193865625521,-0.8906150361635795,-0.7703423332621457,-0.6327511290746872,-0.5707568663010355,-0.29914578700258626,0.27508114108062126,1.4310439220715734,2.418820347590702,1.6201811221150728,0.344817095223421,0.003475073180339573,0.3728457349045671
Clapham Common,2,Northern,51.461803445807924,-0.1383149013879234,-1.4126799926561444,-1.094998343661219,0.0049468500622614035,0.4322875125279651,-0.20462340273273585,-0.7495840324925368,-0.8578726941913216,-0.7393679732349794,-0.6528217221804835,-0.5884584245389126,-0.29155235680156005,0.3033815791237301,1.5261426133449019,2.4080087293830204,1.5829945411303528,0.2502265968139024,-0.161642828715585,0.24561334881934227
Clapham North,2,Northern,51.46491600472909,-0.1299100619146426,-1.3393421361409872,-0.9579695552929571,-0.18088051014210826,0.20672955707476948,-0.2426289989477748,-0.7443570426707657,-0.8804841636340968,-0.7966105475523615,-0.6969135849662518,-0.6464212558521709,-0.43793235327814545,0.24721350428142125,1.6133696062494884,2.3579946802352953,1.5785554160315334,0.38041591645067946,0.059010747806355505,0.4802507203480755
Stockwell,6,Northern & Victoria,51.47215905711563,-0.12284630335652602,-1.4200092008256515,-0.9902804227284921,-0.42902571807797374,-0.10239667872085785,-0.520674879382594,-0.8693234245121019,-0.8818927053204688,-0.7351619480672958,-0.5660302685683818,-0.40555936516518454,0.06137825244927107,0.7809358684248145,1.9198990310331798,2.280172846344581,1.1226388896237114,0.2744836613535863,0.12129301782986743,0.3595530443099881
Oval,3,Northern,51.48141241737747,-0.11332107512133172,-1.7635441960772569,-1.1163320318344114,0.22112846838758746,1.449677685677445,1.2608488258924364,-0.27622352426127605,-0.7959666189753918,-0.8307558471868317,-0.7166391577209384,-0.6742885524543187,-0.41667731581325207,0.3107637767286277,1.4811817642159888,1.7189053572537591,0.890228331324833,-0.25205144872576885,-0.5100018764367981,0.019746360005569324
Kennington,2,Northern,51.48866228881571,-0.1050706127740003,-1.8258077527067202,-1.3284617176097406,-0.30509423756674403,0.21710557887908308,-0.1945016495849724,-0.6111510207010924,-0.8338705828094778,-0.789442526515483,-0.5667306296134312,-0.39106103103475265,0.01091243361490423,0.6769763249602101,1.824246002336012,2.108531027923017,0.9534081943047534,0.27726995944778454,0.2529227058366957,0.524748920839958
Waterloo,1,Northern & Jubilee,51.50314645678346,-0.11325925125819598,-1.447871329151411,-0.8753478923595047,-0.21868359691699027,0.24984206327449116,-0.1697751552562156,-0.6587038307074465,-0.7190761009631317,-0.6238576086737155,-0.5282936634289006,-0.4101167068211751,-0.015042229477277383,0.9484814652448122,2.454718791044063,2.182802290039726,0.5757454495704502,-0.22703382531458147,-0.3020514365636495,-0.21573668353955106
Embankment,4,Northern,51.50731229694681,-0.1223673356621198,-1.7574205648408174,-1.0197241158140327,0.32694103398662383,1.4970413719528537,1.1180271281933507,0.03024865792834571,-0.08957978107510683,0.022658109723507066,-0.06755211527748173,-0.1100111557949351,0.12003228228431868,0.7067971507227111,1.4590395978482285,1.4571983324022992,-0.043326787170832534,-1.0583061480148956,-1.2999795055118553,-1.2920834915422816
Charing Cross,3,Northern,51.50835842818622,-0.12480293723304417,-1.7934418087834694,-1.2853352729580565,-0.347176820253468,0.9307427959692923,0.8602651420928336,0.07263426957747476,-0.10539139431199421,-0.07236390043879602,-0.13635616513938667,-0.1165279133558125,0.17679413351073864,0.9780273116408679,1.8780485588403755,1.6831053416854125,0.23332802312042666,-0.8325510708269377,-1.0503751202627227,-1.0734261101067661
Leicester Square,5,Northern,51.51129097417173,-0.12824214662980674,-1.7221831225795567,-1.3289665719643087,-0.916874109856415,-0.2956270634016169,0.006797832382295236,-0.12544335055755615,0.08995589758903717,0.4588895002099648,0.4420229805559665,0.2783976123855114,0.33878507994477225,0.7970529707519921,1.5990009298826957,2.041771095381408,0.9254573031561224,-0.4634908991437066,-0.9475207964004138,-1.1780252883361897
Goodge Street,5,Northern,51.52061289126984,-0.13480768911472682,-1.278175611544783,-0.9278666185710398,-0.022224906479065335,1.9242299253657933,2.3908117461998533,1.1440597823264012,0.4443727359758478,0.1475748755110111,0.21204151611077854,-0.025137046580795037,-0.21931911851959007,-0.18045634565722454,0.052316548279368345,-0.04023003922764963,-0.5864825158025998,-0.922810024731154,-1.0473685471629848,-1.0653363554921622
